#,object_name,name,hp,str,res,spd,chr,weapon,armor,helm,theme,pts,man,,tot_str mn,tot_str_mx,total res,hero attack,hits to kill enemy,hero hp loss,hits to kill hero
35,obj_mercenary_traveller,lone survivor,2,3,2,0.9,-1,sharp machete,assassin's cloth,warm hood,11_snow_camps,46,2,,9.00,19.50,4.13,0.4~0.7,3~6,1.4~3,0~1
36,obj_merchant_traveller,helpless merchant,3,2,2,1.5,0,broken katana,warm pelt,stray hat,11_snow_camps,34,1,,4.00,9.00,3.19,0.5~0.9,3~6,0.6~1.4,1~2
37,obj_enemy_large,frozen madman,10,5,5,0.666,-3,bare hands,naked,no headwear,12_mountains,47,1,,2.50,5.00,5.00,0.3~0.6,18~33,0.4~0.8,1~3
38,obj_merchant,hermit,1,5,1,1,1,shiny shimitar,nomad's cape,demon's helm,12_mountains,305,1,,50.00,67.50,11.55,0.1~0.2,4~8,7.7~10.3,0~0
39,obj_mercenary_large,giant,500,5,0.1,0.6,1,tree branch,metal plate,no headwear,12_mountains,91,1,,5.50,12.50,0.22,6.9~12.7,39~72,0.8~1.9,1~1
40,obj_enemy,banned soul,1,1,1,1,1,golden dagger,steel armor,roman helm,14_metal_fort,8,30,,0.50,2.50,6.93,0.2~0.4,3~5,0.1~0.4,3~13
41,obj_mercenary,genius,5,5,1,1.18,1,bo staff,naked,bandana,15_desert,116,1,,12.50,25.00,1.00,1.5~2.8,2~3,1.9~3.8,0~1
42,obj_neutral,greedy sheriff,1,1,1,1,1,pistol,tuxido,top hat,15_desert,7,1,,5.00,7.00,1.89,0.8~1.5,1~1,0.8~1.1,1~1
43,obj_merchant_traveller,nomad,1,1,1,1,1,shiny shimitar,nomad's cape,bandana,15_desert,15,3,,10.00,13.50,4.20,0.4~0.7,2~3,1.5~2.1,0~1
44,obj_merchant,drug dealer,2,2,1,1,-1,speed vials,leather armor,leather fedora,16_city_camps,21,3,,3.00,12.00,2.77,0.5~1,2~4,0.5~1.8,1~2
45,obj_merchant,hard drug dealer,1,1,1,1,1,brute force pills,elegant clothes,bionic headset,17_city_rural,7,4,,0.50,7.00,4.16,0.4~0.7,2~3,0.1~1.1,1~13
46,obj_neutral,regular citizen,1,1,1,1,1,bare hands,basic clothes,silver crown,18_city_downtown,2,30,,0.50,1.00,1.26,1.2~2.2,0~1,0.1~0.2,7~13
47,obj_mercenary,the boxer,5,10,10,1.25,5,boxing gloves,king's cape,no headwear,21_hangar,226,1,,2.50,10.00,24.00,0.1~0.1,44~80,0.4~1.5,1~3
48,obj_merchant,croccodille trash,0.5,5,1,0.5,-2,thick spit,torn clothes,filthy hood,18_city_downtown,7,1,,1.25,3.25,2.08,0.7~1.3,0~1,0.2~0.5,2~5
49,obj_ally_townsfolk_female,friendly lady,1,1,1,1,1,bare hands,pretty dress,no headwear,01_directions,2,3,,0.50,1.00,1.38,1.1~2,1~1,0.1~0.2,7~13
50,obj_ally_townsfolk,friendly man,1,1,1,1,1,bare hands,basic clothes,leather fedora,01_directions,2,4,,0.50,1.00,1.66,0.9~1.7,1~1,0.1~0.2,7~13
51,obj_ally_kid,friendly boy,1,1,1,1,1,bare hands,basic clothes,worn hat,01_directions,2,2,,0.50,1.00,1.26,1.2~2.2,0~1,0.1~0.2,7~13
52,obj_dog,friendly dog,1,1,1,1,1,bare hands,basic clothes,no headwear,01_directions,2,1,,0.50,1.00,1.26,1.2~2.2,0~1,0.1~0.2,7~13
53,obj_ally,hip artist,1,1,1,1,1,wet paint brush,elegant clothes,wig,01_directions,1,1,,0.60,0.80,1.26,1.2~2.2,0~1,0.1~0.1,8~11
54,obj_ally,lost convict,5,1,2,1,1,nail gloves,convict uniform,no headwear,01_directions,12,1,,1.75,3.75,2.00,0.8~1.4,4~7,0.3~0.6,2~4
55,obj_neutral,invalid,1,1,1,1,1,wooden spoon,basic clothes,tin hat,01_villages,2,1,,0.05,1.00,1.80,0.8~1.5,1~1,0~0.2,7~131
56,obj_neutral,old scout,1,1,1,1,1,silver fork,basic clothes,copper helm,01_villages,2,1,,0.75,1.25,1.94,0.8~1.4,1~1,0.1~0.2,5~9
57,obj_mercenary,lonely traveller,1,1,1,1,1,rusty machete,nomad's cape,viking helm,01_villages,13,1,,2.50,4.50,10.40,0.1~0.3,4~7,0.4~0.7,1~3
58,obj_ally,old man,1,1,1,1,1,cigarette pack,basic clothes,worn hat,01_villages,2,1,,0.50,1.25,1.26,1.2~2.2,0~1,0.1~0.2,5~13
59,obj_ally_townsfolk_female,girl,1,1,1,1,1,letter opener,pretty dress,no headwear,01_villages,3,2,,1.00,2.25,1.38,1.1~2,1~1,0.2~0.3,3~7
60,obj_ally,midget,1,1,1,1,1,metal piece,wooden armor,copper helm,01_villages,5,1,,1.00,4.00,3.23,0.5~0.9,1~2,0.2~0.6,2~7
61,obj_ally_townsfolk_female,old lady,1,1,1,1,1,leather gloves,pretty dress,wig,01_villages,2,3,,1.00,1.30,1.38,1.1~2,1~1,0.2~0.2,5~7
62,obj_ally_kid,kid,1,1,1,1,1,wooden plank,wooden armor,bucket,01_villages,5,1,,0.75,3.25,3.47,0.4~0.8,1~2,0.1~0.5,2~9
